CNPJ_CIA;DENOM_SOCIAL;SIT
76.484.013/0001-45;CIA. DE SANEAMENTO DO PARANÁ - SANEPAR;ATIVO
33.938.119/0001-69;CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO;ATIVO
76.255.926/0001-90;CIA. IGUAÇU DE CAFÉ SOLÚVEL;CANCELADA
36.729.398/0001-49;CIA. SEC. DE CRÉDITOS FINANCEIROS VERT-PROVI II;CANCELADA
40.885.785/0001-41;CIA. SECURITIZADORA DE CRED. FIN. VERT-UME;CANCELADA
30.545.324/0001-76;CIA. SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-RECARGAPAY;CANCELADA
50.930.098/0001-54;CICA SA;CANCELADA
91.623.892/0001-32;CICADE CURTUME SA;CANCELADA
10.790.616/0001-67;CICANORTE IND DE CONS ALIM SA;CANCELADA
10.319.900/0001-50;CICLUS AMBIENTAL DO BRASIL S.A.;ATIVO
01.102.817/0001-33;CIDADELA TRUST RECEBIVEIS SA;CANCELADA
01.027.058/0001-91;CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO;ATIVO
15.115.520/0001-17;CIMBA SA INDUSTRIA E COMERCIO;CANCELADA
15.847.775/0001-74;CIMENTO ARATU SA;CANCELADA
17.283.599/0001-10;CIMENTO CAUE SA;CANCELADA
03.372.786/0001-66;CIMENTO ITAU DE CORUMBA SA;CANCELADA
33.815.580/0001-24;CIMENTO MAUA SA;CANCELADA
03.478.054/0001-55;CIMENTO PORTLAND M GROSSO SA;CANCELADA
49.870.397/0001-61;CIMENTO SANTA RITA SA;CANCELADA
00.065.557/0001-00;CIMENTO TOCANTINS SA;CANCELADA
33.039.223/0001-11;CIMENTO TUPI SA;CANCELADA
33.039.223/0001-11;CIMENTO TUPI SA;CANCELADA
17.379.827/0001-50;CIMETAL SIDERURGIA SA - EM LIQUIDAÇÃO;CANCELADA
60.869.336/0001-17;CIMINAS  CIMENTO NAC MINAS SA;CANCELADA
34.177.279/0001-03;CIMOB PARTICIPAÇÕES SA;CANCELADA
00.272.185/0001-93;CIMS SA;ATIVO
07.437.016/0001-05;CINESYSTEM S.A.;CANCELADA
07.126.899/0001-32;CIPA CIA INDL PRODS ALIM;CANCELADA
82.166.711/0001-03;CIPLA SA;CANCELADA
15.106.693/0001-79;CIQUINE CIA INDS QUIMS DO NE;CANCELADA
84.043.009/0001-70;CIRCULO S/A;CANCELADA
31.918.584/0001-02;CITI CP MERCANTIL SA;CANCELADA
34.112.128/0001-69;CITIBANK LEASING S.A. - ARREND.MERCANTIL;CANCELADA
34.112.128/0001-69;CITIBANK LEASING S.A. - ARREND.MERCANTIL;CANCELADA
60.867.843/0001-11;CITROBRASIL SA;CANCELADA
68.400.225/0001-79;CLARANET TECHNOLOGY S.A.;ATIVO
24.956.666/0001-86;CLARION S/A AGROINDUSTRIAL;CANCELADA
07.043.628/0001-13;CLARO TELECOM PARTICIPAÇÕES S.A.;ATIVO
03.802.115/0001-98;CLEAR SALE S.A;ATIVO
43.514.079/0001-81;CLI SUL S.A.;ATIVO
60.882.610/0001-98;CLIMAX INDUSTRIA E COMERCIO SA;CANCELADA
03.016.682/0001-19;CLINICA MÉDICA VITA S.A;CANCELADA
00.484.920/0001-22;CLUBEPAR SA;CANCELADA
12.420.164/0001-57;CM HOSPITALAR S.A;ATIVO
31.959.356/0001-80;CMA PARTICIPAÇÕES SA;CANCELADA
29.116.951/0001-02;CMP CIA DE MINERACAO E PART;CANCELADA
06.571.822/0001-09;CNV CIA NACIONAL DO VESTUARIO;CANCELADA
04.030.087/0001-09;COARI PARTICIPAÇÕES SA;CANCELADA
61.576.385/0001-24;COBRASFER SA;CANCELADA
61.080.313/0001-91;COBRASMA SA;ATIVO
32.372.085/0001-25;COBUCCIO SECURITIZADORA DE CRÉDITOS S.A.;CANCELADA
00.826.535/0001-16;CODUNAS SA;CANCELADA
17.174.418/0001-18;COEMP COMERCIO E EMPREEND SA;CANCELADA
61.104.717/0001-78;COEST CONSTRUTORA SA;CANCELADA
57.500.001/0001-12;COFAP CIA FABRICADORA PECAS;CANCELADA
02.800.026/0001-40;COGNA EDUCAÇÃO S.A.;ATIVO
61.460.762/0001-65;COINVEST CIA. DE INV. INTERLAGOS;CANCELADA
08.331.753/0001-91;COIRG CIA INDUSTRIAL RIOGRANDENSE NORTE;CANCELADA
61.189.601/0001-89;COLDEX FRIGOR SA;CANCELADA
61.565.552/0001-31;COLMEIA SA IND.PAULISTA RAD.;CANCELADA
47.309.463/0001-01;COLUMBIA PARTICIPACOES SA;CANCELADA
25.369.840/0001-57;COMERC PARTICIPAÇÕES S.A.;ATIVO
17.177.973/0001-01;COMERCIAL IMPORTADORA SA;CANCELADA
00.994.533/0001-36;COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO;CANCELADA
33.078.262/0001-28;COMERCIO E INDUSTRIA INDUCO SA;CANCELADA
60.394.939/0001-00;COMIND BANCO INVESTIMENTO SA;CANCELADA
47.184.932/0001-03;COMIND LEASING SA ARR MERC;CANCELADA
61.364.022/0001-25;COMIND PARTICIPACOES SA;CANCELADA
61.364.345/0001-19;COMIND SA;CANCELADA
61.181.251/0001-04;COMIND SA SERV TEC PROC DADOS;CANCELADA
62.297.502/0001-83;COMMANDER SA;CANCELADA
04.896.759/0001-55;COMPANHIA  AMAZÔNIA TÊXTIL DE  ANIAGEM;CANCELADA
62.791.116/0001-43;COMPANHIA  ELDORADO DE HOTEIS;CANCELADA
60.730.348/0001-66;COMPANHIA  MELHORAMENTOS DE SÃO PAULO;ATIVO
27.251.974/0001-02;COMPANHIA  SIDERÚRGICA  DE  TUBARÃO;CANCELADA
12.078.880/0001-06;COMPANHIA AURIFERA BRASILEIRA SA;CANCELADA
61.409.892/0001-73;COMPANHIA BRASILEIRA DE ALUMINIO;ATIVO
60.522.000/0001-83;COMPANHIA BRASILEIRA DE BEBIDAS ( Atual demominação  social da Cia Antarctica Paulista IBBC);CANCELADA
57.494.031/0001-63;COMPANHIA BRASILEIRA DE CARTUCHOS - CBC;CANCELADA
47.508.411/0001-56;COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO;ATIVO
47.508.411/0001-56;COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO;ATIVO
22.983.283/0001-71;COMPANHIA CARIOCA DE SECURITIZAÇÃO;CANCELADA
08.560.444/0001-93;COMPANHIA CELG DE PARTICIPAÇÕES - CELGPAR;ATIVO
24.030.025/0001-04;COMPANHIA CIMENTO PORTLAND ITAU;CANCELADA
07.040.108/0001-57;COMPANHIA DE ÁGUA E ESGOTO DO CEARÁ  - CAGECE;ATIVO
02.808.708/0001-07;COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV;CANCELADA
61.784.278/0001-91;COMPANHIA DE CRÉDITO FINANCIAMENTO E INVESTIMENTO RCI BRASIL;CANCELADA
47.189.014/0001-69;COMPANHIA DE EMBALAGENS METÁLICAS - MMSA;CANCELADA
17.245.234/0001-00;COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA;ATIVO
22.261.473/0001-85;COMPANHIA DE GÁS DE MINAS GERAIS - GASMIG;ATIVO
61.856.571/0001-17;COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS;ATIVO
61.856.571/0001-17;COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS;ATIVO
01.028.049/0001-15;COMPANHIA DE INVESTIMENTOS PARTICIPAR;CANCELADA
10.215.988/0001-60;COMPANHIA DE LOCAÇÃO DAS AMERICAS;ATIVO
01.996.119/0001-29;COMPANHIA DE PARTICIPAÇÕES ALPHA;CANCELADA
17.281.106/0001-03;COMPANHIA DE SANEAMENTO DE MINAS GERAIS;ATIVO
17.281.106/0001-03;COMPANHIA DE SANEAMENTO DE MINAS GERAIS;ATIVO
25.089.509/0001-83;COMPANHIA DE SANEAMENTO DO TOCANTINS - SANEATINS;CANCELADA
62.070.362/0001-06;COMPANHIA DO METROPOLITANO DE SÃO PAULO - METRÔ;ATIVO
00.070.698/0001-11;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;ATIVO
28.925.264/0001-75;COMPANHIA ENERGÉTICA JAGUARA;ATIVO
28.942.127/0001-49;COMPANHIA ENERGÉTICA MIRANDA;ATIVO
19.527.586/0001-75;COMPANHIA ENERGÉTICA SINOP S.A.;ATIVO
39.881.421/0001-04;COMPANHIA ESTADUAL DE GERAÇÃO DE ENERGIA ELÉTRICA - CEEE-G;ATIVO
12.646.054/0001-08;COMPANHIA FERRÍFERA BRASILEIRA S.A.;CANCELADA
31.456.338/0001-86;COMPANHIA FLUMINENSE DE REFRIGERANTES;CANCELADA
19.526.748/0001-50;COMPANHIA INDUSTRIAL CATAGUASES;ATIVO
21.254.073/0001-80;COMPANHIA ITAUNENSE ENERGIA E PARTICIPAÇÕES;ATIVO
08.493.364/0001-62;COMPANHIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;CANCELADA
42.416.651/0001-07;COMPANHIA PARAIBUNA DE METAIS;CANCELADA
76.483.817/0001-20;COMPANHIA PARANAENSE DE ENERGIA COPEL;ATIVO
76.483.817/0001-20;COMPANHIA PARANAENSE DE ENERGIA COPEL;ATIVO
23.043.212/0001-51;COMPANHIA PARANAENSE DE SECURITIZAÇÃO - PRSEC;CANCELADA
33.050.196/0001-88;COMPANHIA PAULISTA DE FORCA LUZ - CPFL;ATIVO
11.274.829/0001-07;COMPANHIA PAULISTA DE SECURITIZAÇÃO;ATIVO
57.487.142/0001-42;COMPANHIA PAULISTA FERRO LIGAS;CANCELADA
76.500.180/0001-32;COMPANHIA PROVIDENCIA IND E COMERCIO;CANCELADA
27.137.879/0001-74;COMPANHIA SEC. DE CRÉDITOS FIN. CARTÕES CONSIGNADOS BMG;ATIVO
30.418.658/0001-89;COMPANHIA SECURITIZADORA DE CRÉD. FINANCEIROS VERT-NEXOOS;CANCELADA
37.368.315/0001-04;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS - VERT 5;CANCELADA
32.770.457/0001-71;COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS VERT-GYRA;CANCELADA
34.469.625/0001-19;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-PROVI;CANCELADA
30.219.233/0001-40;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-REBEL;CANCELADA
35.522.281/0001-27;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-VIRTUS;CANCELADA
02.790.893/0001-41;COMPANHIA SIDERÚRGICA PAULISTA - COSIPA;CANCELADA
60.651.726/0001-16;COMPANHIA SUZANO DE PAPEL E CELULOSE;CANCELADA
87.762.563/0001-03;COMPANHIIA HABITASUL DE PARTICIPAÇÕES;ATIVO
97.406.706/0001-90;COMPAQ FINANCIAL SERVICES ARREND MERC SA;CANCELADA
04.928.297/0001-00;COMPAR CIA PAR REFRIGERANTES;CANCELADA
21.389.501/0001-81;COMPASS GÁS E ENERGIA S.A.;ATIVO
61.231.155/0001-23;COMPESCA CIA BRAS DE PESCA - EM LIQUIDAÇÃO;CANCELADA
54.540.448/0001-27;COMPUGRAF TECNOL. E SISTEMA SA;CANCELADA
10.678.505/0001-63;CONC RODOVIAS DO TIETÊ S.A.- EM RECUPERAÇÃO JUDICIAL;ATIVO
15.578.569/0001-06;CONC. DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.;ATIVO
18.572.225/0001-88;CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL S.A.;ATIVO
01.654.604/0001-14;CONCES DA ROD OSÓRIO-POA S/A - CONCEPA;CANCELADA
02.327.817/0001-02;CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A.;CANCELADA
10.324.624/0001-18;CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO SA;ATIVO
10.531.501/0001-58;CONCESSIONARIA AUTO RAPOSO TAVARES SA-CART;ATIVO
10.531.501/0001-58;CONCESSIONARIA AUTO RAPOSO TAVARES SA-CART;ATIVO
10.531.501/0001-58;CONCESSIONARIA AUTO RAPOSO TAVARES SA-CART;ATIVO
19.726.048/0001-00;CONCESSIONÁRIA BR-040 S.A.;ATIVO
36.763.716/0001-98;CONCESSIONARIA CATARINENSE DE RODOVIAS S.A.;ATIVO
08.822.767/0001-08;CONCESSIONÁRIA DA RODOVIA MG-050 S.A.;ATIVO
10.841.050/0001-55;CONCESSIONÁRIA DAS RODOVIAS AYRTON SENNA E CARVALHO PINTO S/A-ECOPISTAS;ATIVO
32.161.500/0001-00;CONCESSIONÁRIA DAS RODOVIAS INTEGRADAS DO SUL S.A.;ATIVO
19.642.306/0001-70;CONCESSIONÁRIA DE RODOVIA SUL-MATOGROSSENSE S.A.;ATIVO
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;ATIVO
02.415.408/0001-50;CONCESSIONARIA DE RODOVIAS DO OESTE DE SP-VIA OESTE SA;CANCELADA
49.314.049/0001-08;CONCESSIONÁRIA DE RODOVIAS NOROESTE PAULISTA S.A;ATIVO
02.451.848/0001-62;CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S.A.;ATIVO
02.451.848/0001-62;CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S.A.;ATIVO
44.319.688/0001-42;CONCESSIONÁRIA DO SISTEMA RODOVIÁRIO RIO-SÃO PAULO S.A.;ATIVO
15.090.690/0001-94;CONCESSIONARIA ECOVIAS DO ARAGUAIA S.A.;ATIVO
35.593.905/0001-05;CONCESSIONÁRIA ECOVIAS DO CERRADO S.A.;ATIVO
02.509.491/0001-26;CONCESSIONARIA ECOVIAS DOS IMIGRANTES SA;ATIVO
22.163.297/0001-49;CONCESSIONARIA PONTE RIO-NITERÓI S.A. - ECOPONTE;ATIVO
00.938.574/0001-05;CONCESSIONARIA RIO-TERESOPOLIS SA;ATIVO
00.861.626/0001-92;CONCESSIONÁRIA RODOVIA PRESIDENTE DUTRA S/A;CANCELADA
10.647.979/0001-48;CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A;ATIVO
41.886.692/0001-02;CONCESSIONARIA ROTA DE SANTA MARIA S.A;ATIVO
19.521.322/0001-04;CONCESSIONÁRIA ROTA DO OESTE S.A.;ATIVO
15.440.708/0001-30;CONCESSIONÁRIA VIARIO S.A.;ATIVO
15.103.039/0001-01;CONCIC ENGENHARIA SA;CANCELADA
60.883.824/0001-89;CONCRETEX SA;CANCELADA
01.284.807/0001-66;CONDOMINIUM VILLAGE SA;CANCELADA
04.088.846/0001-86;CONEPAR PETROQUIMICA SA;CANCELADA
60.882.628/0001-90;CONFAB INDUSTRIAL SA;CANCELADA
02.736.470/0001-43;CONFIANZA SECURITIZADORA SA;CANCELADA
59.106.484/0001-09;CONFORJA SA CONEXOES DE ACO;CANCELADA
01.123.176/0001-01;CONOVER TRADING SA;CANCELADA
43.081.017/0001-23;CONPART IND ELETRONICA S/A;CANCELADA
09.116.278/0001-01;CONPEL CIA. NORDESTINA DE PAPEL - EM RECUPERAÇÃO JUDICIAL;ATIVO
97.191.902/0001-94;CONSERVAS ODERICH SA;ATIVO
29.894.663/0001-89;CONSIGNADOS I COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS;CANCELADA
17.193.806/0001-46;CONSORCIO ALFA DE ADMINISTRACAO S.A;CANCELADA
01.395.591/0001-06;CONSPREVI SA;CANCELADA
17.262.213/0001-94;CONST ANDRADE GUTIERREZ SA;CANCELADA
43.382.027/0001-07;CONST CENTENARIO SA EMP E PART;CANCELADA
60.395.167/0001-20;CONST CIVIL INDL SA;CANCELADA
46.014.635/0001-49;CONST LIX DA CUNHA SA;CANCELADA
33.265.695/0001-92;CONST PRESIDENTE SA;CANCELADA
61.522.512/0001-02;CONSTRUCOES COM CAM CORREA SA;CANCELADA
61.022.042/0001-18;CONSTRUTORA ADOLPHO LINDENBERG S.A.;ATIVO
61.192.373/0001-04;CONSTRUTORA BETER SA;CANCELADA
27.743.642/0001-37;CONSTRUTORA METROCASA S.A.;ATIVO
15.102.288/0001-82;CONSTRUTORA NORBERTO ODEBRECHT S.A.;CANCELADA
89.723.993/0001-33;CONSTRUTORA SULTEPA S.A. - EM RECUPERAÇÃO JUDICIAL;ATIVO
71.476.527/0001-35;CONSTRUTORA TENDA S/A;ATIVO
84.684.349/0001-80;CONSUL SA;CANCELADA
17.632.564/0001-40;CONSULT SECURITIZADORA S/A;CANCELADA
31.594.055/0001-09;CONTAGEM SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;CANCELADA
61.535.241/0001-20;CONTEX CONFECÇÕES TEXTEIS SA;CANCELADA
17.250.986/0001-50;CONVAP ENG CONSTRUCOES SA;CANCELADA
09.462.850/0001-86;COPACABANA PRINCE PARTICIPAÇÕES S.A.;CANCELADA
04.895.066/0001-48;COPALA INDUSTRIAS REUNIDAS SA;CANCELADA
04.368.898/0001-06;COPEL DISTRIBUIÇÃO S.A.;ATIVO
04.370.282/0001-70;COPEL GERAÇÃO E TRANSMISSÃO S/A;ATIVO
15.660.004/0001-73;COPENE PARTICIPAÇÕES S/A;CANCELADA
10.265.949/0001-77;COPERSUCAR SA;CANCELADA
88.948.492/0001-92;COPESUL - COMPANHIA PETROQUÍMICA DO SUL;CANCELADA
29.845.329/0001-35;COPISEC SECURITIZADORA DE CRÉDITOS FINANCEIROS SA;CANCELADA
92.670.959/0001-52;CORBETTA SA IND COM;CANCELADA
25.865.452/0001-67;COREVA SA PRO AGRI PEC IND COM;CANCELADA
15.101.405/0001-93;CORRÊA RIBEIRO S/A COMÉRCIO E INDÚSTRIA;CANCELADA
15.114.494/0001-02;CORREDOR LOGÍSTICA E INFRAESTRUTURA S.A.;ATIVO
62.092.739/0001-28;COSAN ALIMENTOS S.A.;CANCELADA
17.346.997/0001-39;COSAN LOGÍSTICA S.A.;CANCELADA
50.746.577/0001-15;COSAN S.A.;ATIVO
44.689.123/0001-57;COSTA PINTO S.A.;CANCELADA
61.190.047/0001-50;COTONIFICIO BELTRAMO SA;CANCELADA
09.929.746/0001-59;COTONOFICIO JOSE RUFINO SA;CANCELADA
03.410.855/0001-89;CP CIMENTO E PARTICIPAÇÕES  S/A;CANCELADA
02.429.144/0001-93;CPFL ENERGIA SA;ATIVO
02.429.144/0001-93;CPFL ENERGIA SA;ATIVO
08.439.659/0001-50;CPFL ENERGIAS RENOVÁVEIS S.A.;ATIVO
08.439.659/0001-50;CPFL ENERGIAS RENOVÁVEIS S.A.;ATIVO
03.953.509/0001-47;CPFL GERAÇÃO DE ENERGIA S/A;ATIVO
02.150.569/0001-69;CPFL JAGUARIÚNA S.A.;CANCELADA
65.599.953/0001-63;CPM BRAXIS S/A;CANCELADA
07.081.339/0001-09;CR2 CIA SECURITIZADORA DE CREDITOS IMOBILIÁRIOS;CANCELADA
21.331.849/0001-18;CREDGRID SERVIÇOS FINANCEIROS S.A.;CANCELADA
34.098.442/0001-34;CREDICARD SA ADMN CARTOES CRED;CANCELADA
49.923.766/0001-37;CREDIT COMML FRANCE SA AR MERC;CANCELADA
33.040.601/0001-87;CREDITAQUI FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;ATIVO
82.641.325/0001-18;CREMER SA;CANCELADA
82.641.325/0001-18;CREMER SA;CANCELADA
15.104.060/0001-21;CRESAL EXP SA IND E COMERCIO;CANCELADA
62.984.091/0001-02;CRUZEIRO DO SUL EDUCACIONAL S.A.;ATIVO
33.258.518/0001-89;CRUZEIRO DO SUL SA SERV AEREOS;CANCELADA
35.502.310/0001-99;CS BRASIL PARTICIPAÇÕES E LOCAÇÕES S.A.;CANCELADA
05.889.284/0001-32;CSA-COMPANHIA SECURITIZADORA DE ATIVOS;CANCELADA
00.624.910/0001-45;CSM CARTOES DE SEGURANCA SA;CANCELADA
08.902.291/0001-15;CSN MINERAÇÃO S.A.;ATIVO
01.896.779/0001-38;CSU DIGITAL S.A.;ATIVO
06.981.381/0001-13;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;ATIVO
02.998.611/0001-04;CTEEP CIA TRANSM ENERGIA ELÉTR. PAULISTA;ATIVO
02.998.611/0001-04;CTEEP CIA TRANSM ENERGIA ELÉTR. PAULISTA;ATIVO
02.432.056/0001-40;CTMR CELULAR SA;CANCELADA
06.879.308/0001-35;CTN AGROINDUSTRIA E PARTICIPAÇÕES S/A;CANCELADA
09.601.322/0001-60;CTX PARTICIPAÇÕES S/A - EM LIQUIDAÇÃO;CANCELADA
61.323.226/0001-18;CURT SA;CANCELADA
13.073.580/0001-99;CURTUME INDL NE B SA CURTINBRA;CANCELADA
06.269.435/0001-12;CURTUMES DO NORDESTE SA;CANCELADA
08.797.760/0001-83;CURY CONSTRUTORA E INCORPORADORA S.A.;ATIVO
10.760.260/0001-19;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA;ATIVO
10.760.260/0001-19;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA;ATIVO
16.233.389/0001-55;CVLB BRASIL S.A.;ATIVO
73.178.600/0001-18;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;ATIVO
96.735.006/0001-86;CZARINA SA;CANCELADA
61.482.725/0001-58;D F VASCONC SA OPT MEC A PREC;CANCELADA
12.108.897/0001-50;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;ATIVO
59.172.676/0001-05;DACUNHA SA;CANCELADA
27.179.753/0001-62;DADALTO SA;CANCELADA
02.312.604/0001-07;DALETH PARTICIPAÇÕES SA - EM LIQUIDAÇÃO;CANCELADA
92.758.085/0001-90;DANA-ALBARUS S.A. INDÚSTRIA E COMÉRCIO;CANCELADA
01.287.588/0001-79;DASS NORDESTE CALÇADOS E ARTIGOS ESPORTIVOS S.A.;CANCELADA
33.387.382/0001-07;DATAMEC SA SIST PROC DE DADOS;CANCELADA
03.114.361/0001-57;DATASUL S/A;CANCELADA
07.704.246/0001-93;DATORA PARTICIPAÇÕES E SERVIÇOS S/A;ATIVO
88.616.735/0001-95;DE ANTONI SA MAQS IMPL AGRIC;CANCELADA
61.146.650/0001-34;DE MAIO GALLO S.A IND. COM. PÇS P/ AUTOM;CANCELADA
54.360.912/0001-01;DEDINI SA ADM E PARTICIPACOES;CANCELADA
48.170.765/0001-04;DEDINI SA SIDERURGICA;CANCELADA
59.359.539/0001-84;DEDIPAR SA PARTICIPACOES;CANCELADA
12.395.010/0001-52;DELUXE MOTORS S.A.;CANCELADA
62.464.904/0001-25;DERSA DESENVOLVIMENTO RODOVIARIO SA;CANCELADA
81.106.957/0001-19;DESCARBONIZE SOLUÇÕES S.A.;ATIVO
08.170.849/0001-15;DESKTOP S.A;ATIVO
47.240.585/0001-80;DESTILARIA R S SA;CANCELADA
97.837.181/0001-47;DEXCO S.A.;ATIVO
97.837.181/0001-47;DEXCO S.A.;ATIVO
02.193.750/0001-52;DEXXOS PARTICIPAÇÕES S.A.;ATIVO
57.247.900/0001-55;DFV AUTOMACAO E ROBOTICA SA;CANCELADA
92.825.900/0001-96;DHB IND E COMERCIO SA;CANCELADA
61.486.650/0001-83;DIAGNOSTICOS DA AMERICA SA;ATIVO
61.486.650/0001-83;DIAGNOSTICOS DA AMERICA SA;ATIVO
60.930.468/0001-07;DIAMETRO EMPREENDIMENTOS SA;CANCELADA
00.664.949/0001-96;DIAMONDMALL SA EMPREENDS PARTS;CANCELADA
65.654.303/0001-73;DIBENS LEASING S.A.- ARREND. MERCANTIL;ATIVO
89.547.269/0001-04;DIGITEL S.A. INDUSTRIA ELETRONICA - EM RECUPERAÇÃO JUDICIAL;CANCELADA
40.173.064/0001-09;DIJON SA;CANCELADA
92.665.611/0001-77;DIMED SA DISTRIBUIDORA DE MEDICAMENTOS;ATIVO
92.665.611/0001-77;DIMED SA DISTRIBUIDORA DE MEDICAMENTOS;ATIVO
07.659.538/0001-51;DINAMICA ENERGIA S/A;ATIVO
16.614.075/0001-00;DIRECIONAL ENGENHARIA SA;ATIVO
04.211.850/0001-90;DISMAC INDUSTRIAL SA;CANCELADA
92.689.256/0001-76;DISTRIB PRODUTOS PETROLEO IPIRANGA S.A.;CANCELADA
01.125.282/0001-16;DISTRIBUIDORA DE PETROLEO DA BAHIA SA;CANCELADA
61.160.008/0001-00;DIXIE LALEKLA SA;CANCELADA
60.394.723/0001-44;DIXIE TOGA SA;CANCELADA
91.669.747/0001-92;DM FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;ATIVO
33.433.665/0001-48;DOCAS INVESTIMENTOS SA;CANCELADA
02.207.388/0001-21;DOCASNET SA;CANCELADA
84.683.408/0001-03;DOHLER S.A.;ATIVO
01.252.296/0001-09;DOMINIUM PAR SA;CANCELADA
60.646.502/0001-16;DOMINIUM SA;CANCELADA
04.034.792/0001-76;DOMMO EMPREENDIMENTOS IMOBILIÁRIOS S.A.;CANCELADA
08.926.302/0001-05;DOMMO ENERGIA S.A.;CANCELADA
31.119.639/0001-14;DONA ISABEL SA;CANCELADA
52.123.916/0001-32;DORI ALIMENTOS S.A.;CANCELADA
18.174.270/0001-84;DOTZ S.A.;ATIVO
82.610.726/0001-00;DOUAT CIA TEXTIL;CANCELADA
33.387.549/0001-30;DOVA SA;CANCELADA
60.435.351/0001-57;DOW QUIMICA SA;CANCELADA
03.382.891/0001-86;DR. INVEST S/A;CANCELADA
84.683.481/0001-77;DROGARIA FARM CATARINENSE SA;CANCELADA
12.492.734/0001-14;DROGARIAS AMERICANAS SA;CANCELADA
03.303.999/0001-36;DTCOM - DIRECT TO COMPANY S.A.;ATIVO
03.303.999/0001-36;DTCOM - DIRECT TO COMPANY S.A.;ATIVO
87.266.359/0001-93;DURATEX MADEIRA AGLOMERADA SA;CANCELADA
61.194.080/0001-58;DURATEX SA;CANCELADA
60.881.422/0001-45;DUREX INDUSTRIAL SA;CANCELADA
10.382.341/0001-22;DUXXI IMOBILIÁRIA S.A.;CANCELADA
02.535.294/0001-81;EASYPAR SA;CANCELADA
10.847.761/0001-37;EBX BRASIL SA;CANCELADA
51.218.089/0001-06;ECIL SA PRODS E SIST MED CONT;CANCELADA
33.261.561/0001-01;ECISA ENG COM E INDUSTRIA SA;CANCELADA
02.151.985/0001-81;ECO HILLS SA;CANCELADA
10.753.164/0001-43;ECO. SEC. DTOS. CREDIT. AGRONEGÓCIOS S/A;CANCELADA
19.208.022/0001-70;ECO050 - CONCESSIONÁRIA DE RODOVIAS S.A.;ATIVO
15.484.093/0001-44;ECO101 CONCESSIONÁRIA DE RODOVIAS S.A.;ATIVO
15.102.080/0001-63;ECONOMICO SA ARREND MERCANTIL;CANCELADA
13.587.050/0001-69;ECONOMICO SA EMPREENDIMENTOS;CANCELADA
29.884.545/0001-90;ECORIOMINAS CONCESSIONÁRIA DE RODOVIAS S.A.;ATIVO
08.873.873/0001-10;ECORODOVIAS CONCESSÕES E SERVIÇOS S/A;ATIVO
04.149.454/0001-80;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;ATIVO
27.092.587/0001-62;EDAFO SECURITIZADORA S.A.;CANCELADA
89.411.771/0001-85;EDISA HEWLETT-PACKARD SA;CANCELADA
02.183.757/0001-93;EDITORA ABRIL S/A;CANCELADA
60.598.059/0001-55;EDITORA ABRIL SA;CANCELADA
60.598.059/0001-55;EDITORA ABRIL SA;CANCELADA
33.270.240/0001-65;EDITORA DE GUIAS LTB SA;CANCELADA
61.383.279/0001-24;EDITORA LISA SA LIVROS IRRADT;CANCELADA
13.565.502/0001-01;EDN ESTIRENO DO NORDESTE SA;CANCELADA
03.983.431/0001-03;EDP ENERGIAS DO BRASIL S/A;ATIVO
