CNPJ_CIA;DENOM_SOCIAL;SIT
10.866.788/0001-77;BANCO DE PERNAMBUCO S.A. - BANDEPE;CANCELADA
15.163.587/0001-27;BANCO DESENV ESTADO BAHIA SA;CANCELADA
00.000.000/0001-91;BANCO DO BRASIL S.A.;ATIVO
03.468.907/0001-78;BANCO DO ESTADO DE MATO GROSSO S.A.;CANCELADA
83.876.003/0001-10;BANCO DO ESTADO DE SANTA CATARINA S/A - BESC;CANCELADA
61.411.633/0001-87;BANCO DO ESTADO DE SAO PAULO S.A. - BANESPA;CANCELADA
13.009.717/0001-46;BANCO DO ESTADO DE SERGIPE SA;ATIVO
04.913.711/0001-08;BANCO DO ESTADO DO PARÁ S/A.;ATIVO
06.833.131/0001-36;BANCO DO ESTADO DO PIAUÍ S.A. - BEP;CANCELADA
92.702.067/0001-96;BANCO DO ESTADO DO RIO GRANDE DO SUL SA;ATIVO
07.237.373/0001-20;BANCO DO NORDESTE DO BRASIL SA;ATIVO
22.531.842/0001-02;BANCO DO PROGRESSO S.A.;CANCELADA
52.940.319/0001-09;BANCO FENICIA SA;CANCELADA
33.098.518/0001-69;BANCO FININVEST SA;CANCELADA
53.518.684/0001-84;BANCO HSBC S.A.;CANCELADA
53.518.684/0001-84;BANCO HSBC S.A.;CANCELADA
31.895.683/0001-16;BANCO INDUSTRIAL DO BRASIL;CANCELADA
00.416.968/0001-01;BANCO INTER S.A.;CANCELADA
92.723.550/0001-57;BANCO ITABANCO S/A;CANCELADA
17.298.092/0001-30;BANCO ITAU BBA  S.A.;CANCELADA
49.925.225/0001-48;BANCO ITAULEASING S.A.;CANCELADA
17.184.037/0001-10;BANCO MERCANTIL BRASIL SA;ATIVO
34.169.557/0001-72;BANCO MERCANTIL DE INVESTIMENTOS S.A.;ATIVO
61.065.421/0001-95;BANCO MERCANTIL DE SÃO PAULO SA;CANCELADA
30.723.886/0001-62;BANCO MODAL S.A.;CANCELADA
17.157.777/0001-67;BANCO NACIONAL S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL;ATIVO
43.073.394/0001-10;BANCO NOSSA CAIXA S/A;CANCELADA
59.285.411/0001-13;BANCO PAN SA;ATIVO
62.144.175/0001-20;BANCO PINE S/A;ATIVO
62.307.848/0001-15;BANCO RCI BRASIL S.A.;ATIVO
17.156.514/0001-33;BANCO REAL SA;CANCELADA
58.160.789/0001-28;BANCO SAFRA S/A;CANCELADA
90.400.888/0001-42;BANCO SANTANDER (BRASIL) S.A.;ATIVO
60.700.556/0001-12;BANCO SANTANDER NOROESTE SA;CANCELADA
33.517.640/0001-22;BANCO SANTANDER S.A.;CANCELADA
60.889.128/0001-80;BANCO SOFISA SA;CANCELADA
60.942.638/0001-73;BANCO SUDAMERIS BRASIL SA;CANCELADA
00.086.413/0001-30;BANCO ÚNICO S.A.;CANCELADA
61.024.352/0001-71;BANCO VOITER S.A.;CANCELADA
63.081.004/0001-61;BANCOCIDADE LEASING ARR MERC SA;CANCELADA
01.210.645/0001-11;BANEB LEASING SA ARREND MERC;CANCELADA
62.527.346/0001-08;BANESTADO LEASING SA ARR MERC;CANCELADA
76.550.748/0001-20;BANESTADO SA CRED FIN E INV;CANCELADA
39.813.605/0001-37;BANESTES LEASING SA ARR MERC;CANCELADA
28.127.603/0001-78;BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO;ATIVO
33.550.104/0001-29;BANEX S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;CANCELADA
07.216.674/0001-77;BANFORT-BANCO FORTALEZA S.A.;CANCELADA
92.791.813/0001-65;BANKAMERICA COMERCIAL E PARTICIPAÇÕES S. A.;CANCELADA
01.377.222/0001-90;BANKBOSTON COMPANHIA HIPOTECÁRIA;CANCELADA
11.558.657/0001-95;BANORTE BANCO INVEST SA;CANCELADA
10.781.524/0001-10;BANORTE CRED FIN E INVEST SA;CANCELADA
10.925.675/0001-03;BANORTE CRED IMOBILIARIO SA;CANCELADA
34.260.158/0001-12;BANORTE LEASING ARRENDAMENTO MERCANTIL SA EM LIQUIDAÇÃO EXTRAJUDICIAL;CANCELADA
92.721.232/0001-57;BANRISUL ARMAZENS GERAIS SA;ATIVO
92.692.979/0001-24;BANRISUL S.A.  ADMINISTRADORA DE CONSÓRCIOS;CANCELADA
92.934.215/0001-06;BANRISUL SOLUÇÕES EM PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;CANCELADA
61.578.159/0001-82;BANYLSA TECELAGEM DO BRASIL SA;CANCELADA
10.809.341/0001-66;BAPTISTA DA SILVA PARTICIPAÇÕES E PROJETOS SA;CANCELADA
49.033.814/0001-11;BARBER GREENE BRASIL INDUSTRIA E COMERCIO SA;CANCELADA
60.851.615/0001-53;BARDELLA S.A. INDS MECANICAS - EM RECUPERAÇÃO JUDICIAL;ATIVO
10.608.405/0001-60;BARI SECURITIZADORA S.A.;CANCELADA
15.125.339/0001-91;BARRETTO ARAUJO PROD CACAU SA;CANCELADA
35.082.277/0001-95;BASE SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A.;CANCELADA
09.462.140/0001-56;BASEL PARTICIPAÇÕES S/A;CANCELADA
48.539.407/0001-18;BASF BRAS SA INDS QUIMICAS;CANCELADA
61.064.937/0001-15;BATES SA;CANCELADA
61.374.161/0001-30;BAUMER SA;ATIVO
17.344.597/0001-94;BB SEGURIDADE PARTICIPAÇÕES S.A.;ATIVO
31.546.476/0001-56;BB-LEASING SA ARRENDAMENTO MERCANTIL;CANCELADA
13.004.577/0001-13;BBC ADM E PARTICIPAÇÃO-EM LIQUIDAÇÃO ORDINÁRIA;CANCELADA
37.623.907/0001-17;BBC LEASING ARREND MERCANTIL-EM LIQUIDAÇÃO ORDINÁRIA;CANCELADA
01.107.327/0001-20;BBM LOGÍSTICA S.A.;ATIVO
00.162.760/0001-03;BBV LEASING BRASIL SA ARR MERC;CANCELADA
19.276.528/0001-16;BCBF PARTICIPAÇÕES S.A.;CANCELADA
60.885.100/0001-74;BCO AUXILIAR SA;CANCELADA
76.484.575/0001-99;BCO BAMERINDUS INVS SA;CANCELADA
60.885.092/0001-66;BCO BRADESCO INVESTIMENTO SA;CANCELADA
33.132.044/0001-24;BCO CEDULA SA;CANCELADA
13.007.703/0001-93;BCO CREDIPLAN SA;CANCELADA
61.100.046/0001-77;BCO INV AMERICA SUL SA;CANCELADA
17.180.399/0001-32;BCO MAISONNAVE DE INV SA;CANCELADA
33.222.241/0001-34;BCO NACIONAL INVS SA;CANCELADA
61.391.090/0001-83;BCO SAVENA SA;CANCELADA
87.125.019/0001-42;BCO SUL BRASILEIRO SA;CANCELADA
40.432.544/0001-47;BCP S/A;CANCELADA
92.691.328/0001-10;BCR BCO CREDITO REAL SA;CANCELADA
01.608.571/0001-76;BELAPART SA;CANCELADA
14.200.618/0001-00;BELEZA PARTICIPAÇÕES SA;CANCELADA
28.564.391/0001-96;BELPRATO SA;CANCELADA
82.373.077/0001-71;BEMATECH  S/A;CANCELADA
09.042.817/0001-05;BEMOBI MOBILE TECH S.A.;ATIVO
61.288.916/0001-83;BENZENEX SA ADUBOS E INSET;CANCELADA
09.400.937/0001-29;BERNA PARTICIPAÇÕES SA;CANCELADA
00.510.570/0001-21;BESC SA ARRENDAMENTO MERCANTIL;CANCELADA
04.381.091/0001-03;BETA SA INDUSTRIA E COMERCIO;CANCELADA
07.021.459/0001-10;BETA SECURITIZADORA S/A;CANCELADA
02.762.124/0001-30;BETAPART PARTICIPAÇÕES SA;ATIVO
60.627.346/0001-46;BETUMARCO SA ENGENHARIA INDUSTRIA COMERCIO;CANCELADA
43.425.008/0001-02;BFB LEASING S.A. ARRENDAMENTO MERCANTIL;CANCELADA
43.425.008/0001-02;BFB LEASING S.A. ARRENDAMENTO MERCANTIL;CANCELADA
25.635.129/0001-05;BFC BANCO SA;CANCELADA
04.987.555/0001-20;BGPAR SA;CANCELADA
08.723.106/0001-25;BHG S.A. - BRAZIL HOSPITALITY GROUP;CANCELADA
07.112.325/0001-05;BI CIA SECURITIZADORA DE CREDITOS IMOBILIARIOS;CANCELADA
56.992.423/0001-90;BICICLETAS MONARK SA;ATIVO
16.921.603/0001-66;BIOBRAS SA;CANCELADA
04.752.991/0001-10;BIOMM SA;ATIVO
04.069.709/0001-02;BIONEXO S.A.;ATIVO
15.527.906/0001-36;BIOSEV S.A.;CANCELADA
49.341.506/0001-53;BIRMANN SA COM. E EMPREEND.;CANCELADA
58.430.828/0001-60;BLAU FARMACÊUTICA S.A.;ATIVO
60.637.238/0001-54;BLUE TECH SOLUTIONS EQI S.A.;ATIVO
66.542.002/0001-10;BLUE TREE HOTELS & RESORTS DO BRASIL SA;CANCELADA
24.921.465/0001-43;BLUEFIT ACADEMIAS DE GINÁSTICA E PARTICIPAÇÕES S.A;ATIVO
20.451.953/0001-83;BLUM COMPANHIA DE SECURITIZAÇÃO DE CRÉDITOS S.A;CANCELADA
46.521.357/0001-16;BMD LEASING SA ARREND MERC;CANCELADA
34.265.561/0001-34;BMG LEASING S.A. -  ARREND. MERCANTIL;CANCELADA
61.146.577/0001-09;BNC BRAZIL LTDA;CANCELADA
